Owner,Location,PILOT Parcel No,Underlying Parcel Number,Begin Date,End Date,Assmt Taxes,PILOT Contract Amt,PILOT Debt Service Amt,Difference
NTERNATIONAL PAPER COMPANY,6165 HOLMES,IDB1818A000000,0018180000000D,12/31/2016,12/31/2031,"$3,887",$100,$977,"-$2,810"
NTERNATIONAL PAPER COMPANY,1740 INTERNATIONAL DR,IDB1819A000000,0018190000000D,12/31/2016,12/31/2031,"$5,076",$100,"$1,269","-$3,707"
NTERNATIONAL PAPER COMPANY,6400 POPLAR (TOWER 1),IDB1820A000000,0018200000000D,12/31/2016,12/31/2031,"$12,859",$100,"$3,215","-$9,544"
"NUCOR STEEL MEMPHIS, INC",3601 PAUL R LOWRY,IDB0794A000000,0007940000000D,12/31/2008,12/31/2023,"$712,998",$100,"$178,250","-$534,649"
"NUCOR STEEL MEMPHIS, INC",2315 PIER,IDB1729A000000,0017290000000D,12/31/2018,12/31/2023,"$35,366",$0,"$8,842","-$26,525"
"NUCOR STEEL MEMPHIS, INC",3601 PAUL R LOWRY,IDB0833A000000,0008330000000D,12/31/2009,12/31/2024,"$52,153",$100,"$13,038","-$39,015"
"NUCOR STEEL MEMPHIS, INC",3601 PAUL R LOWRY,IDB0922A000000,0009220000000D,12/31/2013,12/31/2028,"$30,648",$100,"$7,662","-$22,886"
"NUCOR STEEL MEMPHIS, INC",3601 PAUL R LOWRY,IDB0993A000000,0009930000000D,12/31/2014,12/31/2029,"$162,293",$100,"$40,573","-$121,620"
"NUCOR STEEL MEMPHIS, INC",3601 PAUL R LOWRY,IDB1230A000000,0012300000000D,12/31/2015,12/31/2030,"$24,223",$100,"$6,056","-$18,067"
"NUCOR STEEL MEMPHIS, INC",2315 PIER,IDB1797A000000,0017970000000D,01/01/2020,12/31/2024,"$5,776",$0,"$1,444","-$4,332"
"OASIS OF HOPE, INC",0 UNITY,IHE0003U000000,"02202100000700, 02202100000710, 02202100000720, 02202100000730, 02202100000740, 02202100000750, 02202100000760, 02202100000770, 02202100000780, 02202100000790, 02202100000800, 02202100000810, 02202100000820,",04/01/2012,03/31/2032,"$10,566",$439,$0,"-$10,127"
ODYSSEY MEDICAL TECHNOLOGY,2975 BROTHER,IDB0000B000170,B0158J0A00006C,03/07/2019,03/07/2029,"$43,698","$4,011","$9,922","-$29,766"
ODYSSEY MEDICAL TECHNOLOGY,1406 STONEWALL,IDB0000B00017A,178100000000,01/01/2020,12/31/2029,"$9,410",$0,"$2,353","-$7,058"
"OLD DOMINION FREIGHT LINE, INC",2208 SPIRIT OF 76,IDB09950000000,0791480000152C,12/31/2014,12/31/2023,"$191,860",$917,"$143,895","-$47,048"
OLYMBEC USA - SANDERLIN PLACE,80 MONROE,ICC00480000000,"0020380000008C, 0020380000011C",12/31/1984,12/31/2024,"$113,185","$11,528",$0,"-$101,657"
OLYMBEC USA LLC,611 WINCHESTER,IDB17980000000,7701700000030,09/01/2020,09/01/2035,"$44,869","$6,947","$9,629","-$28,293"
ONYX MEDICAL LLC,1800 SHELBY OAKS,IDB1741A000000,0017520000000D,12/31/2018,12/31/2028,"$36,715",$0,"$9,179","-$27,536"
ONYX MEDICAL LLC,1800 SHELBY OAKS,IDB17690000000,0890440000360C,12/31/2018,12/31/2028,"$94,722","$49,089","$20,952","-$24,681"
ONYX MEDICAL LLC,1800 N SHELBY OAKS,IDB1833A000000,D0018330000000,12/31/2019,12/31/2029,"$20,500",$0,"$3,844","-$16,656"
"ORGILL, INC",4100 HOUSTON LEVEE,IDB0000C00017A,5000160000000D,12/31/2017,12/31/2032,"$14,628",$0,"$3,657","-$10,971"
"ORGILL, INC",4100 HOUSTON LEVEE,IDB0000C000180,C0243000006050,12/31/2017,12/31/2032,"$244,570","$15,640","$61,142","-$167,787"
Orion Federal Credit Union,400 MONROE AVE,ICC07990000000,700100000060,01/31/2018,01/31/2038,"$59,508","$4,916","$49,909","-$4,683"
PARACHUTE INVESTMENT COMPANY LLC,80 VIRGINIA,ICC07920000000,"01204700000110, 0120470000007C",10/13/2020,04/13/2029,"$3,115","$2,976",$100,-$39
PARKING AUTHORITY CITY OF MEMPHIS & CNTY OF SHELBY,160 N MAIN ST,ICC04190000000,0050050A000020,07/29/1999,07/29/2024,"$97,938",$0,$0,"-$97,938"
PARKING AUTHORITY CITY OF MEMPHIS & CNTY OF SHELBY,61 SECOND,ICC07370000000,0020550000002C,12/23/2010,12/23/2030,"$63,663",$14,$0,"-$63,649"
PARKING AUTHORITY CITY OF MEMPHIS & CNTY OF SHELBY,100 MAIN,ICC07250000000,0020530B000020,12/23/2008,12/23/2023,"$37,755",$0,$0,"-$37,755"
PARKING AUTHORITY CITY OF MEMPHIS & CNTY OF SHELBY - RISE PA,K4I0N0G MGOANRRAOGEE,ICC07590000000,700100000060,05/09/2018,05/09/2038,"$59,508","$1,732",$0,"-$57,776"
PARKING AUTHORITY CITY OF MEMPHIS & CNTY OF SHELBY,283 FRONT ST,ICC07940000000,209800000090,06/07/2019,06/07/2039,"$47,598","$5,325",$0,"-$42,273"
PATTERSON FLATS ELMINGTON PROPERTY MGMT,266 BUTLER,IHE0005T000000,502200000160,08/01/2016,07/31/2036,"$286,383","$1,424",$0,"-$284,959"
"PEABODY FALLS, LLC ICC0779",2017 PEABODY AVE,ICC07790000000,"01605900000340, 01605900000380, 01605900000410",06/30/2020,06/30/2032,"$17,632","$18,708",$312,"$1,388"
PEABODY OFFICE TOWER,100 PEABODY,ICC02390000000,0020500A000010,09/12/1997,08/18/2034,"$161,513",$848,$0,"-$160,666"
PEABODY OFFICE TOWER LP,1 PEABODY,ICC02400000000,0020500A000020,09/12/1997,08/18/2034,"$18,984",$271,$0,"-$18,713"
PEABODY OFFICE TOWER LP,100 PEABODY,ICC02410000000,"0020500A000010, 0020500A000030, 0020500A000050",09/12/1997,08/19/2034,"$234,725",$24,$0,"-$234,701"
PEABODY PLACE CENTER GP,150 PEABODY,ICC0419C000000,0050050A000030,07/29/1999,07/29/2024,"$28,476","$18,081",$0,"-$10,395"
PEABODY PLACE-GOLD LP,123 MAIN,ICC02430000000,"00204300000010, 00204300000020, 00204300000030, 00204300000130",08/18/1994,08/18/2034,"$157,127","$4,296",$0,"-$152,831"
PEABODY PLACE-HAV LP,151 MAIN,ICC02440000000,0020430000006C,12/03/1994,08/18/2034,"$50,610",$831,$0,"-$49,779"
PENN A KEM LLC,3324 CHELSEA,IDB0900A000000,0009000000000D,12/31/2011,12/31/2026,"$7,382",$100,"$1,846","-$5,437"
PENN A KEM LLC,3324 CHELSEA,IDB0920A000000,0009200000000D,12/31/2013,12/31/2028,"$18,858",$100,"$4,715","-$14,044"
PENN A KEM LLC,3324 CHELSEA,IDB0959A000000,0009590000000D,12/31/2014,12/31/2029,"$18,650",$100,"$4,662","-$13,887"
PENN A KEM LLC,3324 CHELSEA,IDB1020A000000,0010200000000D,12/31/2015,12/31/2030,"$43,326",$100,"$10,832","-$32,395"
PENN A KEM LLC,3324 CHELSEA,IDB1811A000000,0018110000000D,12/31/2020,12/31/2032,"$39,260",$0,"$9,815","-$29,445"
PENN A KEM LLC,3324 CHELSEA,IDB1829A000000,4304700000140,12/31/2021,12/31/2033,"$15,804",$0,"$9,651","-$6,153"
PEROXYCHEM LLC,2178 CENTRAL,IDB1774A000000,0017740000000D,12/31/2019,12/31/2021,"$34,229",$0,"$8,557","-$25,672"
PEROXYCHEM LLC,2005 MARKET ST,IDB18050000000,0690740000014L,12/31/2019,12/31/2026,"$109,032","$5,990","$25,761","-$77,282"
PFIZER INC,1585 ELVIS PRESLEY,IDB1779A000000,0017790000000D,12/31/2019,12/31/2032,"$18,885",$0,"$4,721","-$14,164"
PFIZER INC,949 SHADY GROVE,IDB1806A000000,0018060000000D,12/31/2020,12/31/2033,"$1,632",$0,$408,"-$1,224"
PG PROPERTIES 17 LLC,0 SHELBY,IDB14500000000,"09360000002310, 09360000002340",01/31/2017,01/31/2027,"$152,718","$5,718","$38,180","-$108,821"
PHILIP WOODARD AND TERRY WOODARD,509 MAIN,ICC02210000000,0021070000012C,12/31/1997,12/31/2022,"$9,119",$814,$0,"-$8,306"
PINCH PARTNERS INVESTMENT CO,326 MAIN R,ICC01140000000,102700000110,03/21/1994,03/21/2019,"$2,937","$2,034",$0,-$903
PINEBROOK KEY CITY PROPERTY MANAGEMENT COMPANY,3541 MEDITERRANEAN,IHE0002R000000,7304100001110,01/01/2011,12/31/2030,"$44,686","$12,380",$0,"-$32,305"
PKG PROPERTIES LLC,435 MADISON,ICC07710000000,700200000030,12/31/2018,12/31/2038,"$9,248","$9,675",$238,$665
PKG PROPERTIES LLC,0 MONROE,ICC07730000000,0070040000003C,12/31/2018,12/31/2038,"$2,803","$3,327",$4,$528
PKG PROPERTIES LLC - CHESTNUT CYCLE SHOP,421 MONROE,ICC07720000000,0070040000010C,12/31/2018,12/31/2038,"$2,544","$2,892",$25,$374
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1720A000000,0017200000000D,03/31/2018,12/31/2029,"$30,718",$100,"$7,680","-$22,939"
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1721A000000,0017210000000D,03/31/2018,12/31/2025,$97,$100,$24,$28
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1722A000000,0017220000000D,03/31/2018,12/31/2028,"$2,253",$100,$563,"-$1,589"
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1723A000000,0017230000000D,03/31/2018,12/31/2026,$709,$100,$40,-$569
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1724A000000,0017240000000D,03/31/2018,12/31/2026,$33,$100,$8,$76
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1725A000000,0017250000000D,03/31/2018,03/31/2027,$185,$100,$46,-$39
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1726A000000,0017260000000D,03/31/2018,12/31/2025,$37,$100,$9,$73
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1727A000000,0017270000000D,03/31/2018,12/31/2030,$52,$100,$13,$61
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1728A000000,0017280000000D,03/18/2018,12/31/2028,$15,$100,$4,$89
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1732A000000,0017320000000D,03/18/2018,12/31/2030,"$52,932",$100,"$13,233","-$39,599"
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1733A000000,0017330000000D,03/31/2018,12/31/2029,$24,$100,$6,$82
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1734A000000,0017340000000D,03/31/2018,12/31/2027,"$3,203",$100,$801,"-$2,302"
PMC BIOGENIX INC,1285 POPE,IDB0944A000000,0009440000000D,12/31/2011,12/31/2023,"$2,611",$100,$653,"-$1,858"
PMC BIOGENIX INC,1285 POPE,IDB0855A000000,0008550000000D,12/17/2010,12/17/2022,"$11,937","$2,870","$2,870","-$6,197"
PMC BIOGENIX INC,1231 POPE,IDB0907A000000,0009070000000D,12/31/2012,12/31/2024,"$162,883",$100,"$40,721","-$122,062"
PONTOTOC TONWHOMES LLC,291 PONTOTOC,IHE0006X000000,"0050170000001C, 00501700000180",05/01/2021,04/30/2041,"$41,197","$17,172",$0,"-$24,024"
"POPLAR ARTS LOFT, LLC",1935 POPLAR,ICC07800000000,"01705800000010, 01705800000020, 01705800000030, 01705800000040, 01705800000420,",03/11/2020,03/11/2033,"$178,550","$7,901","$42,662","-$127,987"
"POPLAR/MASSEY, LLC",6340 POPLAR,IDB13600000000,"0800080000340C, 08000800003410, 08000800005670",12/31/2015,12/31/2030,"$491,237","$21,488","$155,582","-$314,166"
POWER TRANSPORT,2098 EXECUTIVE COURT DR,IDB18040000000,06022220I000150,12/01/2019,12/31/2027,"$2,282","$9,002",$0,"$6,720"
PRAXAIR INC,3587 PAUL R LOWRY RD,IDB0894A000000,0008940000000D,12/31/2012,12/31/2023,"$91,364",$100,"$22,841","-$68,423"
PREMIUM GUARD INCORPORATED,4770 HICKORY HILL,IDB1706A000000,0017060000000D,12/31/2017,12/31/2027,"$1,882",$0,$471,"-$1,412"
PREMIUM GUARD INCORPORATED,4770 HICKORY HILL,IDB1717A000000,0017170000000D,12/31/2018,12/31/2028,"$1,365",$0,$341,"-$1,024"
"PRIMACY PROPERTY LEASING MEMPHIS, LLC",6077 PRIMACY PARKWAY,IDB18350000000,8100400000170,12/31/2021,12/31/2036,"$174,277","$43,065","$13,721","-$117,491"
PROPERTY SOLUTIONS GROUP,2601 N WATKINS ST,IHE0006S000000,7002800000140,12/01/2021,11/30/2041,"$32,259","$16,130",$0,"-$16,130"
PROPERTY SOLUTIONS GROUP,1757 GOWAN DR,IHE0006U000000,"0700500000750, 0700500000760, 0700500000770, 0700500000790, 0700500000650",12/01/2021,11/30/2041,"$25,715","$12,858",$0,"-$12,858"
"RALEIGH MANAGEMENT, LLC",2690 DRURY WAY,IHE0004O000000,8302100000690,04/01/2016,03/31/2026,"$35,344","$6,644",$0,"-$28,700"
"RALEIGH VILLAGE PARTNERS, LLC",4933 YALE,IHE0004B000000,"0870750000014C, 0870760000009C",01/01/2014,12/31/2023,"$77,402","$14,238",$0,"-$63,164"
RAVING FANS LEGEND LAND & CATTLE COMPANY LLC,39 MAIN,ICC05990000000,"00203900000060, 0020390C000010",07/02/2002,07/02/2022,"$10,076",$0,"$2,519","-$7,557"
RAYMOND JAMES & ASSOCIATES,889 RIDGE LAKE,IDB18300000000,0800230J000010,12/31/2021,12/31/2029,"$142,775","$126,788","$7,577","-$8,410"
RAYMOND JAMES & ASSOCIATES,1100 RIDGEWAY LOOP,IDB18310000000,0800240000011C,12/31/2021,12/31/2029,"$360,941","$301,717","$14,806","-$44,418"
RAYMOND JAMES TOWER - MORGAN KEEGAN,50 FRONT,ICC00410000000,200600000240,12/27/1984,12/27/2024,"$162,720","$6,113",$0,"-$156,607"
RBM CHERRY ROAD PARTNERS,1029 CHERRY,IDB09330000000,"05812600000270, 05812600000280",12/31/2013,12/31/2028,"$280,866","$11,640","$70,216","-$199,009"
RED ACE COURT AVE APARTMENTS,1364 COURT AVE,IHE0006T000000,"01701500000040, 0170150000005C, 01701500000070, 01701500000080, 01701600000080, 01701600000090,",10/27/2021,10/27/2041,"$19,625","$9,813",$0,"-$9,813"
REEDY AND CO REALTORS,1984 E BONNIE DR,IHE0006Z000000,"07802800001900, 07802800001910",06/01/2021,05/31/2041,"$56,457","$3,221",$0,"-$53,237"
RENAISSANCE AT STEELE,1441 RENAISSANCE,IHE0005M000000,7004200000620,09/26/2019,09/25/2039,"$21,349","$8,362",$0,"-$12,987"
"RENAISSANCE VILLAGE APARTMENTS, LP",148 MILL,ICC05880000000,"0010630000002C, 0010640000001C",02/06/2003,02/06/2023,"$33,566","$3,090","$7,619","-$22,857"
RENASANT,5575 POPLAR,IDB18530000000,0560600000001C,07/01/2021,07/01/2031,"$169,927","$66,241","$23,602","-$80,084"
RESIDENCES AT LAKEVIEW NEW LIFE CORE WILLOW LAKE LLC,2774 S MENDENHALL,IHE0003I000000,"07408900000460, 07408900000470, 07408900000480, 07408900000490",06/06/2012,06/05/2032,"$254,392","$54,865",$0,"-$199,527"
RIVER CITY HEIGHTS GRACELAND POINTE,3716 WINCHESTER ROAD,IHE0003M000000,7300600000450,09/30/2011,09/29/2031,"$29,380","$5,221",$0,"-$24,160"
"RIVER HAWK PROPERTIES, LLC",407 MONROE,ICC07650000000,"00700400000070, 00700400000080",02/16/2018,02/16/2038,"$22,668","$3,627","$4,760","-$14,281"
RIVERBLUFF COOPERATIVE,333 TENNESSEE,ICC00110000000,0020740000002C,11/30/1981,11/30/2080,"$162,735","$101,709",$0,"-$61,026"
RIVIANA FOODS INC,0 LAUDERDALE ST,IDB07590000000,"0490650000001C, 04906700000010, 04900400000090, 0490040000009Z,04900400000220, 0490650000001Z",12/28/2007,12/31/2019,"$247,301","$215,270","$5,811","-$26,219"
RIVIANA FOODS INC,2314 LAUDERDALE,IDB0858A000000,0008580000000D,12/31/2010,12/31/2022,"$42,735",$100,"$10,684","-$31,952"
RIVIANA FOODS INC,2314 LAURDERDALE,IDB1773A000000,0017730000000D,12/31/2019,12/31/2026,"$96,209",$0,"$24,052","-$72,157"
RUSH IT LLC,0 BAILEY STATION,IDB0000C000230,C0243000003150,02/01/2020,02/01/2035,"$1,013,298","$66,582","$253,325","-$693,392"
"SADDLE VINEYARDS, LP",0 KNIGHT,IHE0004J000000,7307600000150,09/04/2015,09/03/2025,"$34,155","$8,306",$0,"-$25,849"
SBV-MEMPHIS-SUMMER TRACE LLC,5999 SUMMER,IHE0003O000000,8904400002190,05/31/2012,05/31/2022,"$64,859","$39,429",$0,"-$25,430"
SC BARTLETT INVESTORS LLC,2171 SYCAMORE VIEW RD,IHE0007L000000,088041000017C,03/01/2022,02/28/2042,"$64,513","$27,042",$0,"-$37,471"
SEDGWICK CLAIMS MANAGEMENT SERVICES INC,8125 SEDGWICK,IDB1795A000000,0017950000000D,12/31/2019,12/31/2024,"$17,005",$0,"$4,251","-$12,754"
SEDGWICK CLAIMS MANAGEMENT SERVICES INC,2846 AIRWAYS,IDB1796A000000,0017960000000D,12/31/2018,12/31/2033,"$18,433",$0,"$4,608","-$13,825"
SEDGWICK CLAIMS MANAGEMENT SERVICES INC,8125 SEDGWICK,IDB18000000000,8109200000020,12/31/2018,12/31/2033,"$281,865","$63,867","$26,397","-$191,601"
"SELF TUCKER PROPERTIES, LLC",480 DR ML KING,ICC07520000000,"00701100000350, 00701100000360",04/29/2015,04/29/2025,"$49,417","$7,501","$10,479","-$31,436"
SERVICEMASTER CONSUMER SERVICES LIMITED,150 PEABODY,IDB1470A000000,0014700000000D,12/31/2016,12/31/2031,"$4,862",$0,"$1,216","-$3,647"
SERVICEMASTER CONSUMER SERVICES LIMITED,150 PEABODY,IDB1763A000000,0017630000000D,12/31/2017,12/31/2032,$382,$0,$96,-$287
"SERVICEMASTER GLOBAL HOLDINGS,INC",150 PEABODY,IDB1738A000000,0017640000000D,12/31/2018,12/31/2033,"$25,109",$0,"$6,277","-$18,832"
"SHELBY GROUP INTERNATIONAL, INC",1255 SCHILLING,IDB0000C000140,C024400A006570,12/31/2013,12/31/2024,"$99,361","$7,601","$24,840","-$66,920"
"SHELBY GROUP INTERNATIONAL, INC",1255 SCHILLING,IDB0000C00015A,5000150000000D,12/31/2013,12/31/2024,"$7,261",$0,"$1,815","-$5,446"
SHELBY PINES APARTMENTS,1760 CHANCERY STREET,IHE0005K000000,0790680000002C,12/01/2020,11/30/2040,"$11,240","$4,841",$0,"-$6,399"
SHELBY POINTE TOWNHOMES LLC,1500 EAST SHELBY DRIVE,IHE0007K000000,0790500A00025,04/14/2022,04/13/2042,"$46,330","$16,628",$0,"-$29,702"
SHIELD INC,2450 KETCHUM,IMC00000000040,6013700002070,11/18/2008,End of Loan,"$12,950","$3,900",$0,"-$9,050"
SMITH & NEPHEW INC,1450 BROOKS,IDB0804A000000,0008040000000D,12/31/2008,12/31/2023,"$26,295",$100,"$6,574","-$19,621"
ARVATO,3303 HOLMES,IDB07380000000,9410000003040,07/27/2007,12/31/2022,"$189,356","$8,783","$47,339","-$133,234"
SMITH & NEPHEW INC,1450 BROOKS,IDB0760A000000,0007600000000D,12/31/2007,12/31/2021,"$6,214",$100,"$1,553","-$4,560"
SMITH & NEPHEW INC,1450 BROOKS,IDB0832A000000,0008320000000D,12/31/2009,12/31/2024,"$30,565",$100,"$7,641","-$22,824"
SMITH & NEPHEW INC,7135 GOODLETT FARMS,IDB08650000000,D020700000352C,12/31/2010,12/31/2025,"$387,116","$37,731","$96,779","-$252,607"
SMITH & NEPHEW INC,7135 GOODLETTS FARMS,IDB0888A000000,0008880000000D,12/31/2012,12/31/2027,"$16,673",$200,"$4,168","-$12,305"
"SOLAE, LLC",4272 MENDENHALL,IDB1480A000000,0014800000000D,12/31/2016,12/31/2027,"$5,204",$100,"$1,301","-$3,803"
"SOLAE, LLC",4272 MENDENHALL,IDB1530A000000,0015300000000D,12/31/2017,12/31/2028,"$101,244",$100,"$25,311","-$75,833"
"Somera Road-Gibson Memphis, LLC",145 GEORGE W LEE AVE,ICC02280000000,0021280000026C,07/26/2019,02/03/2045,"$193,772","$74,859",$0,"-$118,914"
"SOUTH BLUFFS, A JOINT VENTURE",605 RIENZI,ICC03950000000,"0020840D000080, 0020840D000090, 0020840D000100, 0020840D000110",04/29/1998,04/29/2024,"$76,657","$1,493",$0,"-$75,164"
SOUTH CITY I & IV,410 S DANNY THOMAS BLVD,IHE0007C000000,"0070200000180, 0070200000190, 0070200000200, 0070200000210, 0070200000220, 0070200000230",02/28/2018,02/27/2038,"$8,386","$3,119",$0,"-$5,267"
SOUTH CITY II & IV,410 S DANNY THOMAS BLVD,IHE0007E000000,"0070200000260, 00702000000270, 00702000000280",08/30/2018,08/29/2038,"$24,994","$3,661",$0,"-$21,333"
SOUTH CITY III & IV,410 S DANNY THOMAS BLVD,IHE0007B000000,702000000260,03/01/2020,02/29/2040,"$18,972","$4,475",$0,"-$14,497"
SOUTH CITY IV,410 S DANNY THOMAS BLVD,IHE0007G000000,50200000010,02/01/2021,01/31/2041,$567,"$5,356",$0,"$4,789"
SOUTH CITY V,457 BRIGHTSIDE,IHE0007O000000,702000000290,09/01/2022,08/31/2042,"$1,832",$765,$0,"-$1,067"
SOUTH JUNCTION PARTNERS,7 GEORGIA,ICC07440000000,"00208800000140, 01206800000010, 01206800000020",08/14/2013,08/14/2028,"$201,156","$3,528","$49,407","-$148,221"
SOUTH JUNCTION PARTNERS II,0 CAROLINA,ICC07490000000,"00209000000030, 0020900000006C, 0020910000011C",08/14/2015,08/14/2028,"$120,516","$3,856","$29,165","-$87,495"
"SOUTH MAIN HOTEL, LLC",477 MAIN,ICC07600000000,210700000020,08/10/2018,08/13/2033,"$48,257","$48,257",$0,$0
SOUTHRIDGE OWNER LP,4926 SOUTHRIDGE,IDB16100000000,"0937000000534C, 09430000005690",05/01/2018,05/01/2033,"$227,051","$12,304","$53,687","-$161,060"
SPUS9 Memphis Global LP,6200 GLOBAL DRIVE,IDB18030000000,0943000000601C,06/01/2020,06/01/2027,"$254,900","$99,411","$44,035","-$111,454"
ST PETER'S MANOR,108 AUBURNDALE,IPH0000A000000,1704800000290,09/26/1977,10/01/2048,"$128,377","$6,792",$0,"-$121,585"
STEEL PENDLETON LLC,1764 PENDLETON,IHE0005B000000,5901100000700,07/01/2018,06/30/2028,"$43,016","$19,351",$0,"-$23,665"
STEELE KEYSTONE LLC,4266 RIDGESTONE,IHE0004Y000000,9001700000340,07/01/2018,06/30/2028,"$81,344","$20,236",$0,"-$61,107"
STEPHERSON INCORPORATED D/B/A SUPERLO FOODS,2269 LAMAR,IDB18070000000,"04702000001310, 04702000001320",12/31/2019,12/31/2034,"$21,699","$8,769","$3,381","-$9,549"
SUMMTI PARK TUP I LIMITED PARTNERSHIP,1791 RAINES,IHE0001U000000,7901300000660,02/01/2007,12/31/2026,"$94,448","$13,986",$0,"-$80,462"
SUNA WINCHESTER BUILDING LLC,179 MADISON,ICC00470000000,"00206000000010, 0020600000001Z",12/28/1984,12/28/2024,"$63,695","$2,215",$0,"-$61,480"
SUNRISE VILLAS LLC,2080 WINCHESTER,IHE0006A000000,7800800000120,12/31/2016,12/30/2026,"$25,241","$5,085",$0,"-$20,156"
SYLVAMO,6077 PRIMACY,IDB17850000000,8100400000170,01/01/2022,12/31/2036,"$174,277","$65,035","$13,721","-$95,520"
"TAG AMERICAN WAY REAL ESTATE, LLC",4450 AMERICAN,IDB1670A000000,0016700000000D,12/31/2017,12/31/2029,$0,$0,"$3,546","$3,546"
"TAG AMERICAN WAY REAL ESTATE, LLC",4430 AMERICAN,IDB17000000000,"07302200003710, 07302200003740",12/31/2017,12/31/2029,"$322,198","$15,968","$75,227","-$231,003"
"TAG AMERICAN WAY REAL ESTATE, LLC",4430 & 4504 AMERICAN WAY,IDB1836A000000,0018360000000D,12/31/2019,12/31/2031,$0,$0,$575,$575
"TCH Memphis, LLC",380 BEALE ST,ICC08020000000,500600000290,03/31/2021,03/31/2034,"$5,211","$6,327",$0,"$1,116"
TECHNICOLOR,4155 HOLMES,IDB1807A000000,0018070000000D,01/01/2021,12/31/2035,"$8,725",$0,"$2,181","-$6,544"
TECHNICOLOR,5215 LAMAR,IDB1808A000000,0018080000000D,01/01/2021,12/31/2035,"$1,820",$0,$455,"-$1,365"
TECHNICOLOR,5140 MEMPHIS OAKS,IDB1809A000000,0018090000000D,01/01/2021,12/31/2035,"$5,029",$0,"$1,257","-$3,772"
,,,,,,,,,
TECHNICOLOR,4926 SOUTHRIDGE,IDB1810A000000,0018100000000D,12/31/2020,12/31/2034,"$2,447",$0,$612,"-$1,835"
TECHNICOLOR VIDEOCASSETTE OF MICHIGAN,5215 LAMAR,IDB1711A000000,0017110000000D,12/31/2018,12/31/2033,"$4,188",$0,"$1,047","-$3,141"
TECHNICOLOR VIDEOCASSETTE OF MICHIGAN,5140 MEMPHIS OAKS,IDB1712A000000,0017120000000D,12/31/2018,12/31/2033,"$4,204",$100,"$1,051","-$3,053"
TECHNICOLOR VIDEOCASSETTE OF MICHIGAN,4926 SOUTHRIDGE,IDB1713A000000,0017130000000D,12/31/2018,12/31/2033,"$6,054",$0,"$1,514","-$4,541"
TECHNICOLOR VIDEOCASSETTE OF MICHIGAN,4155 HOLMES,IDB1714A000000,0017140000000D,12/31/2018,12/31/2033,"$3,809",$0,$952,"-$2,856"
TECHNICOLOR VIDEOCASSETTE OF MICHIGAN,4926 SOUTHRIDGE,IDB1775A200000,0017750000000D,12/31/2019,12/31/2034,"$3,247",$0,$812,"-$2,435"
TECHNICOLOR VIDEOCASSETTE OF MICHIGAN,6481 HIGHWAY 51,IDB1776A000000,0017760000000D,12/31/2019,12/31/2034,"$2,779",$0,$695,"-$2,085"
TECHNICOLOR VIDEOCASSETTE OF MICHIGAN,7990 TRINITY RD,IDB1777A000000,0017770000000D,12/31/2019,12/31/2034,$342,$0,$85,-$256
TECHNICOLOR VIDEOCASSETTE OF MICHIGAN,4155 HOLMES,IDB1778A000000,0017780000000D,12/31/2019,12/31/2034,"$5,716",$0,"$1,429","-$4,287"
TENN STREET PARTNERS,505 TENNESSEE,ICC07430000000,0020830D000040,05/06/1999,05/05/2024,"$5,625","$3,769",$0,"-$1,856"
THE GREATER MEMPHIS AUTO DEALERS,2785 MENDENHALL,IDB17440000000,0740010A000060,04/18/2019,04/18/2034,"$6,102","$5,562",$93,-$447
"THE JAMES LEE HOUSE, LLC",690 ADAMS,ICC07460000000,2300400000160,06/04/2013,06/04/2023,"$27,519",$888,"$6,658","-$19,973"
THE LANDING RESIDENCES LLC,275 FRONT ST,ICC07950000000,209800000100,06/07/2019,06/07/2039,"$206,603","$28,422","$32,632","-$145,548"
THE MEMPHIAN HOTEL,21 COOPER,IDB17970000000,1707300000220,10/01/2020,09/30/2035,"$170,658","$3,202","$41,118","-$126,338"
THE MEMPHIAN HOTEL,21 S COOPER,IDB1842A000000,0018420000000D,10/01/2020,09/30/2035,"$28,191",$0,"$7,043","-$21,148"
THE PALLET FACTORY,3740 ARNOLD ROAD,IDB18550000000,0730920000066C,12/31/2020,12/31/2027,"$19,419","$12,475","$1,736","-$5,208"
THE TREZEVANT EPISCOPAL HOME,0 WAYNOKA,IPH0001S000000,"04404300000690, 04404300000700, 04404300000710",03/28/2006,03/28/2034,"$536,553","$47,460",$0,"-$489,093"
THG JEFFERSON LLC,75 JEFFERSON,ICC07230000000,0020060000002C,08/13/2008,08/13/2028,"$161,325","$3,671","$39,414","-$118,240"
THOB LLC,505 TENNESSEE,ICC03200000000,0020830D000010,05/06/1999,05/05/2024,"$7,645","$7,735",$0,$89
